Sample_ID	Population
EPI_ISL_2650021	ITALY
EPI_ISL_2650024	ITALY
EPI_ISL_2650025	ITALY
EPI_ISL_2650026	ITALY
EPI_ISL_2811946	ITALY
EPI_ISL_2811949	ITALY
EPI_ISL_2811950	ITALY
EPI_ISL_2811951	ITALY
EPI_ISL_2811952	ITALY
EPI_ISL_2811953	ITALY
EPI_ISL_2811955	ITALY
EPI_ISL_2811956	ITALY
EPI_ISL_2811958	ITALY
EPI_ISL_2964931	ITALY
EPI_ISL_2964933	ITALY
EPI_ISL_2964937	ITALY
EPI_ISL_2964938	ITALY
EPI_ISL_2964939	ITALY
EPI_ISL_2964940	ITALY
EPI_ISL_3164076	ITALY
EPI_ISL_3164077	ITALY
EPI_ISL_3164078	ITALY
EPI_ISL_3164082	ITALY
EPI_ISL_3164083	ITALY
EPI_ISL_3164084	ITALY
EPI_ISL_3164086	ITALY
EPI_ISL_3164087	ITALY
EPI_ISL_3164090	ITALY
EPI_ISL_3164092	ITALY
EPI_ISL_3164099	ITALY
EPI_ISL_3164109	ITALY
EPI_ISL_3164111	ITALY
EPI_ISL_3164114	ITALY
EPI_ISL_3477095	ITALY
EPI_ISL_3477096	ITALY
EPI_ISL_3477098	ITALY
EPI_ISL_3477099	ITALY
EPI_ISL_3477100	ITALY
EPI_ISL_3477101	ITALY
EPI_ISL_3477102	ITALY
EPI_ISL_3477103	ITALY
EPI_ISL_3477104	ITALY
EPI_ISL_3477105	ITALY
EPI_ISL_3506207	ITALY
EPI_ISL_3506208	ITALY
EPI_ISL_3506209	ITALY
EPI_ISL_3506211	ITALY
EPI_ISL_3506212	ITALY
EPI_ISL_3506213	ITALY
EPI_ISL_3506215	ITALY
EPI_ISL_3543451	ITALY
EPI_ISL_3543452	ITALY
EPI_ISL_3543453	ITALY
EPI_ISL_3543454	ITALY
EPI_ISL_3543455	ITALY
EPI_ISL_3543456	ITALY
EPI_ISL_3543457	ITALY
EPI_ISL_3543459	ITALY
EPI_ISL_3543461	ITALY
EPI_ISL_3543462	ITALY
EPI_ISL_3543465	ITALY
EPI_ISL_3543466	ITALY
EPI_ISL_3543467	ITALY
EPI_ISL_3543468	ITALY
EPI_ISL_3664403	ITALY
EPI_ISL_3664404	ITALY
EPI_ISL_3664405	ITALY
EPI_ISL_3664406	ITALY
EPI_ISL_3664407	ITALY
EPI_ISL_3664408	ITALY
EPI_ISL_3664409	ITALY
EPI_ISL_3664410	ITALY
EPI_ISL_3664411	ITALY
EPI_ISL_3664412	ITALY
EPI_ISL_3664413	ITALY
EPI_ISL_3664414	ITALY
EPI_ISL_3664415	ITALY
EPI_ISL_3664416	ITALY
EPI_ISL_3664417	ITALY
EPI_ISL_3664418	ITALY
EPI_ISL_3664419	ITALY
EPI_ISL_3664420	ITALY
EPI_ISL_3664421	ITALY
EPI_ISL_3664422	ITALY
EPI_ISL_3664423	ITALY
EPI_ISL_3664424	ITALY
EPI_ISL_3664425	ITALY
EPI_ISL_3664426	ITALY
EPI_ISL_3664427	ITALY
EPI_ISL_3664428	ITALY
EPI_ISL_3664429	ITALY
EPI_ISL_3664430	ITALY
EPI_ISL_3664431	ITALY
EPI_ISL_3664432	ITALY
EPI_ISL_3664433	ITALY
EPI_ISL_3664434	ITALY
EPI_ISL_3664435	ITALY
EPI_ISL_3664436	ITALY
EPI_ISL_3664437	ITALY
EPI_ISL_3664438	ITALY
EPI_ISL_3664439	ITALY
EPI_ISL_3664440	ITALY
EPI_ISL_3664441	ITALY
EPI_ISL_3664442	ITALY
EPI_ISL_3664443	ITALY
EPI_ISL_3664444	ITALY
EPI_ISL_3664445	ITALY
EPI_ISL_3664446	ITALY
EPI_ISL_3664447	ITALY
EPI_ISL_3664448	ITALY
EPI_ISL_3664449	ITALY
EPI_ISL_3664450	ITALY
EPI_ISL_3664451	ITALY
EPI_ISL_3664452	ITALY
EPI_ISL_3664453	ITALY
EPI_ISL_3664454	ITALY
EPI_ISL_3664455	ITALY
EPI_ISL_3664456	ITALY
EPI_ISL_3664457	ITALY
EPI_ISL_3664458	ITALY
EPI_ISL_3664459	ITALY
EPI_ISL_3709074	ITALY
EPI_ISL_3709077	ITALY
EPI_ISL_3709079	ITALY
EPI_ISL_3709081	ITALY
EPI_ISL_3709083	ITALY
EPI_ISL_3709085	ITALY
EPI_ISL_3709087	ITALY
EPI_ISL_3709089	ITALY
EPI_ISL_3709091	ITALY
EPI_ISL_3709093	ITALY
EPI_ISL_3709095	ITALY
EPI_ISL_3709098	ITALY
EPI_ISL_3709100	ITALY
EPI_ISL_3709102	ITALY
EPI_ISL_3709104	ITALY
EPI_ISL_3709106	ITALY
EPI_ISL_3709108	ITALY
EPI_ISL_3709110	ITALY
EPI_ISL_3709112	ITALY
EPI_ISL_3709114	ITALY
EPI_ISL_3709116	ITALY
EPI_ISL_3709118	ITALY
EPI_ISL_3709120	ITALY
EPI_ISL_3709122	ITALY
EPI_ISL_3709124	ITALY
EPI_ISL_3709126	ITALY
EPI_ISL_3709128	ITALY
EPI_ISL_3709130	ITALY
EPI_ISL_3709132	ITALY
EPI_ISL_3709134	ITALY
EPI_ISL_3709136	ITALY
EPI_ISL_3709137	ITALY
EPI_ISL_3709139	ITALY
EPI_ISL_3709141	ITALY
EPI_ISL_3709143	ITALY
EPI_ISL_3709145	ITALY
EPI_ISL_3709147	ITALY
EPI_ISL_3709150	ITALY
EPI_ISL_3709152	ITALY
EPI_ISL_3709154	ITALY
EPI_ISL_3709156	ITALY
EPI_ISL_3709158	ITALY
EPI_ISL_3709160	ITALY
EPI_ISL_3709162	ITALY
EPI_ISL_3709164	ITALY
EPI_ISL_3709166	ITALY
EPI_ISL_3709169	ITALY
EPI_ISL_3709171	ITALY
EPI_ISL_3709173	ITALY
EPI_ISL_3709175	ITALY
EPI_ISL_3709177	ITALY
EPI_ISL_3709179	ITALY
EPI_ISL_3709181	ITALY
EPI_ISL_3709183	ITALY
EPI_ISL_3709185	ITALY
EPI_ISL_3709188	ITALY
EPI_ISL_3709190	ITALY
EPI_ISL_3709192	ITALY
EPI_ISL_3709194	ITALY
EPI_ISL_3721973	ITALY
EPI_ISL_3721974	ITALY
EPI_ISL_3721975	ITALY
EPI_ISL_3721976	ITALY
EPI_ISL_3721977	ITALY
EPI_ISL_3721978	ITALY
EPI_ISL_3721979	ITALY
EPI_ISL_3721980	ITALY
EPI_ISL_3721981	ITALY
EPI_ISL_3721982	ITALY
EPI_ISL_3721983	ITALY
EPI_ISL_3721984	ITALY
EPI_ISL_3721985	ITALY
EPI_ISL_3721986	ITALY
EPI_ISL_3721987	ITALY
EPI_ISL_3721988	ITALY
EPI_ISL_3721989	ITALY
EPI_ISL_3721990	ITALY
EPI_ISL_3721991	ITALY
EPI_ISL_3721992	ITALY
EPI_ISL_3721993	ITALY
EPI_ISL_3721994	ITALY
EPI_ISL_3721995	ITALY
EPI_ISL_3721996	ITALY
EPI_ISL_3721997	ITALY
EPI_ISL_3721998	ITALY
EPI_ISL_3721999	ITALY
EPI_ISL_3722000	ITALY
EPI_ISL_3722001	ITALY
EPI_ISL_3722002	ITALY
EPI_ISL_3722003	ITALY
EPI_ISL_3722004	ITALY
EPI_ISL_3722005	ITALY
EPI_ISL_3722006	ITALY
EPI_ISL_3722007	ITALY
EPI_ISL_3722008	ITALY
EPI_ISL_3722009	ITALY
EPI_ISL_3722010	ITALY
EPI_ISL_3722011	ITALY
EPI_ISL_3722012	ITALY
EPI_ISL_3722013	ITALY
EPI_ISL_3722014	ITALY
EPI_ISL_3722015	ITALY
EPI_ISL_3722016	ITALY
EPI_ISL_3722017	ITALY
EPI_ISL_3722018	ITALY
EPI_ISL_3722019	ITALY
EPI_ISL_3722020	ITALY
EPI_ISL_3722021	ITALY
EPI_ISL_3722022	ITALY
EPI_ISL_3722023	ITALY
EPI_ISL_3722024	ITALY
EPI_ISL_3722025	ITALY
EPI_ISL_3722026	ITALY
EPI_ISL_3760047	ITALY
EPI_ISL_3760048	ITALY
EPI_ISL_3760049	ITALY
EPI_ISL_3760050	ITALY
EPI_ISL_3760051	ITALY
EPI_ISL_3760053	ITALY
EPI_ISL_3760054	ITALY
EPI_ISL_3760055	ITALY
EPI_ISL_3760057	ITALY
EPI_ISL_3760058	ITALY
EPI_ISL_3760059	ITALY
EPI_ISL_3760060	ITALY
EPI_ISL_3760062	ITALY
EPI_ISL_3760063	ITALY
EPI_ISL_3760064	ITALY
EPI_ISL_3760065	ITALY
EPI_ISL_3760066	ITALY
EPI_ISL_3760067	ITALY
EPI_ISL_3760068	ITALY
EPI_ISL_3760069	ITALY
EPI_ISL_3760070	ITALY
EPI_ISL_3760071	ITALY
EPI_ISL_3760072	ITALY
EPI_ISL_3760073	ITALY
EPI_ISL_3760074	ITALY
EPI_ISL_3760075	ITALY
EPI_ISL_3760076	ITALY
EPI_ISL_3760077	ITALY
EPI_ISL_3760078	ITALY
EPI_ISL_3760079	ITALY
EPI_ISL_3760080	ITALY
EPI_ISL_3760081	ITALY
EPI_ISL_3760082	ITALY
EPI_ISL_3760083	ITALY
EPI_ISL_3760084	ITALY
EPI_ISL_3760085	ITALY
EPI_ISL_3760087	ITALY
EPI_ISL_3760088	ITALY
EPI_ISL_3760089	ITALY
EPI_ISL_3760092	ITALY
EPI_ISL_3760093	ITALY
EPI_ISL_3760094	ITALY
EPI_ISL_3760095	ITALY
EPI_ISL_3760096	ITALY
EPI_ISL_3760097	ITALY
EPI_ISL_3760098	ITALY
EPI_ISL_3760099	ITALY
EPI_ISL_3760100	ITALY
EPI_ISL_3760101	ITALY
EPI_ISL_3760102	ITALY
EPI_ISL_3760103	ITALY
EPI_ISL_3760104	ITALY
EPI_ISL_3760105	ITALY
EPI_ISL_3760106	ITALY
EPI_ISL_3760107	ITALY
EPI_ISL_3804550	ITALY
EPI_ISL_3804551	ITALY
EPI_ISL_3804552	ITALY
EPI_ISL_3804553	ITALY
EPI_ISL_3804555	ITALY
EPI_ISL_3804557	ITALY
EPI_ISL_3804558	ITALY
EPI_ISL_3804559	ITALY
EPI_ISL_3804560	ITALY
EPI_ISL_3804561	ITALY
EPI_ISL_3804562	ITALY
EPI_ISL_3804563	ITALY
EPI_ISL_3804564	ITALY
EPI_ISL_3804565	ITALY
EPI_ISL_3804566	ITALY
EPI_ISL_3804567	ITALY
EPI_ISL_3804568	ITALY
EPI_ISL_3804569	ITALY
EPI_ISL_3804570	ITALY
EPI_ISL_3804571	ITALY
EPI_ISL_3804573	ITALY
EPI_ISL_3804574	ITALY
EPI_ISL_3804576	ITALY
EPI_ISL_3804577	ITALY
EPI_ISL_3804578	ITALY
EPI_ISL_3804579	ITALY
EPI_ISL_3804580	ITALY
EPI_ISL_3804581	ITALY
EPI_ISL_3804582	ITALY
EPI_ISL_3804583	ITALY
EPI_ISL_3804584	ITALY
EPI_ISL_3804586	ITALY
EPI_ISL_3804587	ITALY
EPI_ISL_3804588	ITALY
EPI_ISL_3804589	ITALY
EPI_ISL_3804590	ITALY
EPI_ISL_3804591	ITALY
EPI_ISL_3804592	ITALY
EPI_ISL_3804593	ITALY
EPI_ISL_3804596	ITALY
EPI_ISL_3804597	ITALY
EPI_ISL_3804598	ITALY
EPI_ISL_3804599	ITALY
EPI_ISL_3804600	ITALY
EPI_ISL_3804601	ITALY
EPI_ISL_3804602	ITALY
EPI_ISL_3804603	ITALY
EPI_ISL_3804604	ITALY
EPI_ISL_3804605	ITALY
EPI_ISL_3804606	ITALY
EPI_ISL_3804607	ITALY
EPI_ISL_3804608	ITALY
EPI_ISL_3804609	ITALY
EPI_ISL_3804610	ITALY
EPI_ISL_3804611	ITALY
EPI_ISL_3804613	ITALY
EPI_ISL_3804614	ITALY
EPI_ISL_3804616	ITALY
EPI_ISL_3832909	ITALY
EPI_ISL_3832910	ITALY
EPI_ISL_3832911	ITALY
EPI_ISL_3832912	ITALY
EPI_ISL_3832913	ITALY
EPI_ISL_3832914	ITALY
EPI_ISL_3832917	ITALY
EPI_ISL_3832918	ITALY
EPI_ISL_3832919	ITALY
EPI_ISL_3832920	ITALY
EPI_ISL_3832921	ITALY
EPI_ISL_3832922	ITALY
EPI_ISL_3832923	ITALY
EPI_ISL_3832924	ITALY
EPI_ISL_3832925	ITALY
EPI_ISL_3832926	ITALY
EPI_ISL_3832927	ITALY
EPI_ISL_3832929	ITALY
EPI_ISL_3832930	ITALY
EPI_ISL_3832931	ITALY
EPI_ISL_3832932	ITALY
EPI_ISL_3832933	ITALY
EPI_ISL_3832934	ITALY
EPI_ISL_3832935	ITALY
EPI_ISL_3832936	ITALY
EPI_ISL_3832937	ITALY
EPI_ISL_3832938	ITALY
EPI_ISL_3832939	ITALY
EPI_ISL_3832940	ITALY
EPI_ISL_3832941	ITALY
EPI_ISL_3832942	ITALY
EPI_ISL_3832943	ITALY
EPI_ISL_3832944	ITALY
EPI_ISL_3832945	ITALY
EPI_ISL_3832946	ITALY
EPI_ISL_3832947	ITALY
EPI_ISL_3832948	ITALY
EPI_ISL_3832949	ITALY
EPI_ISL_3832950	ITALY
EPI_ISL_3832951	ITALY
EPI_ISL_3832952	ITALY
EPI_ISL_3832953	ITALY
EPI_ISL_3832954	ITALY
EPI_ISL_3832955	ITALY
EPI_ISL_3832956	ITALY
EPI_ISL_3832957	ITALY
EPI_ISL_3832959	ITALY
EPI_ISL_3832960	ITALY
EPI_ISL_3832961	ITALY
EPI_ISL_3832962	ITALY
EPI_ISL_3832963	ITALY
EPI_ISL_3832964	ITALY
EPI_ISL_3832965	ITALY
EPI_ISL_3832966	ITALY
EPI_ISL_3832967	ITALY
EPI_ISL_3832968	ITALY
EPI_ISL_3832969	ITALY
EPI_ISL_3832970	ITALY
EPI_ISL_3832971	ITALY
EPI_ISL_3832973	ITALY
EPI_ISL_3832974	ITALY
EPI_ISL_3832975	ITALY
EPI_ISL_3832976	ITALY
EPI_ISL_3832977	ITALY
EPI_ISL_3832978	ITALY
EPI_ISL_3832979	ITALY
EPI_ISL_3832980	ITALY
EPI_ISL_3832981	ITALY
EPI_ISL_3832982	ITALY
EPI_ISL_3832983	ITALY
EPI_ISL_3832984	ITALY
EPI_ISL_3832985	ITALY
EPI_ISL_3832986	ITALY
EPI_ISL_3832987	ITALY
EPI_ISL_3832989	ITALY
EPI_ISL_3832990	ITALY
EPI_ISL_3832991	ITALY
EPI_ISL_3832992	ITALY
EPI_ISL_3832993	ITALY
EPI_ISL_3832994	ITALY
EPI_ISL_3832995	ITALY
EPI_ISL_3832996	ITALY
EPI_ISL_3832998	ITALY
EPI_ISL_3833000	ITALY
EPI_ISL_3833001	ITALY
EPI_ISL_3833002	ITALY
EPI_ISL_3833003	ITALY
EPI_ISL_3833004	ITALY
EPI_ISL_3833007	ITALY
EPI_ISL_3833008	ITALY
EPI_ISL_3833009	ITALY
EPI_ISL_3833010	ITALY
EPI_ISL_3833011	ITALY
EPI_ISL_3869371	ITALY
EPI_ISL_3869372	ITALY
EPI_ISL_3869373	ITALY
EPI_ISL_3869374	ITALY
EPI_ISL_3869375	ITALY
EPI_ISL_3869376	ITALY
EPI_ISL_3869377	ITALY
EPI_ISL_3869378	ITALY
EPI_ISL_3869379	ITALY
EPI_ISL_3869380	ITALY
EPI_ISL_3869381	ITALY
EPI_ISL_3869382	ITALY
EPI_ISL_3869383	ITALY
EPI_ISL_3869384	ITALY
EPI_ISL_3869385	ITALY
EPI_ISL_3869386	ITALY
EPI_ISL_3869387	ITALY
EPI_ISL_3869388	ITALY
EPI_ISL_3869390	ITALY
EPI_ISL_3869391	ITALY
EPI_ISL_3869392	ITALY
EPI_ISL_3869393	ITALY
EPI_ISL_3869394	ITALY
EPI_ISL_3869395	ITALY
EPI_ISL_3869397	ITALY
EPI_ISL_3869398	ITALY
EPI_ISL_3869399	ITALY
EPI_ISL_3869400	ITALY
EPI_ISL_3869401	ITALY
EPI_ISL_3869402	ITALY
EPI_ISL_3869403	ITALY
EPI_ISL_3869404	ITALY
EPI_ISL_3869405	ITALY
EPI_ISL_3869406	ITALY
EPI_ISL_3869407	ITALY
EPI_ISL_3869408	ITALY
EPI_ISL_3869409	ITALY
EPI_ISL_3869410	ITALY
EPI_ISL_3869411	ITALY
EPI_ISL_3869412	ITALY
EPI_ISL_3869413	ITALY
EPI_ISL_3869415	ITALY
EPI_ISL_3869416	ITALY
EPI_ISL_3869417	ITALY
EPI_ISL_3869418	ITALY
EPI_ISL_3869419	ITALY
EPI_ISL_3869421	ITALY
EPI_ISL_3869422	ITALY
EPI_ISL_3869423	ITALY
EPI_ISL_3869424	ITALY
EPI_ISL_3869425	ITALY
EPI_ISL_3869426	ITALY
EPI_ISL_3869427	ITALY
EPI_ISL_3869429	ITALY
EPI_ISL_3869431	ITALY
EPI_ISL_3869432	ITALY
EPI_ISL_3869434	ITALY
EPI_ISL_3869435	ITALY
EPI_ISL_3869436	ITALY
EPI_ISL_3869437	ITALY
EPI_ISL_3869438	ITALY
EPI_ISL_3869441	ITALY
EPI_ISL_3869442	ITALY
EPI_ISL_3869444	ITALY
EPI_ISL_3869445	ITALY
EPI_ISL_3869447	ITALY
EPI_ISL_3869448	ITALY
EPI_ISL_3869449	ITALY
EPI_ISL_3869450	ITALY
EPI_ISL_3869452	ITALY
EPI_ISL_3869453	ITALY
EPI_ISL_3869454	ITALY
EPI_ISL_3869455	ITALY
EPI_ISL_3869456	ITALY
EPI_ISL_3869458	ITALY
EPI_ISL_3869459	ITALY
EPI_ISL_3869460	ITALY
EPI_ISL_3869461	ITALY
EPI_ISL_3869463	ITALY
EPI_ISL_3869464	ITALY
EPI_ISL_3869465	ITALY
EPI_ISL_3869466	ITALY
EPI_ISL_3869467	ITALY
EPI_ISL_3869468	ITALY
EPI_ISL_3869469	ITALY
EPI_ISL_3869470	ITALY
EPI_ISL_3869471	ITALY
EPI_ISL_3869472	ITALY
EPI_ISL_3869473	ITALY
EPI_ISL_3869474	ITALY
EPI_ISL_3869475	ITALY
EPI_ISL_3869476	ITALY
EPI_ISL_3869477	ITALY
EPI_ISL_3869479	ITALY
EPI_ISL_3869481	ITALY
EPI_ISL_3869482	ITALY
EPI_ISL_3869483	ITALY
EPI_ISL_3938587	ITALY
EPI_ISL_3938588	ITALY
EPI_ISL_3938589	ITALY
EPI_ISL_3938590	ITALY
EPI_ISL_3938591	ITALY
EPI_ISL_3938592	ITALY
EPI_ISL_3938593	ITALY
EPI_ISL_3938594	ITALY
EPI_ISL_3938595	ITALY
EPI_ISL_3938596	ITALY
EPI_ISL_3938597	ITALY
EPI_ISL_3938598	ITALY
EPI_ISL_3938599	ITALY
EPI_ISL_3938600	ITALY
EPI_ISL_3938602	ITALY
EPI_ISL_3938603	ITALY
EPI_ISL_3938604	ITALY
EPI_ISL_3938605	ITALY
EPI_ISL_3938606	ITALY
EPI_ISL_3938607	ITALY
EPI_ISL_3938608	ITALY
EPI_ISL_3938609	ITALY
EPI_ISL_3938610	ITALY
EPI_ISL_3938611	ITALY
EPI_ISL_3938612	ITALY
EPI_ISL_3938613	ITALY
EPI_ISL_3938614	ITALY
EPI_ISL_3938615	ITALY
EPI_ISL_3938616	ITALY
EPI_ISL_3938618	ITALY
EPI_ISL_3948659	ITALY
EPI_ISL_3948660	ITALY
EPI_ISL_3948661	ITALY
EPI_ISL_3948662	ITALY
EPI_ISL_3948663	ITALY
EPI_ISL_3948664	ITALY
EPI_ISL_3948665	ITALY
EPI_ISL_3948666	ITALY
EPI_ISL_3948667	ITALY
EPI_ISL_3948668	ITALY
EPI_ISL_3948669	ITALY
EPI_ISL_3948670	ITALY
EPI_ISL_3948671	ITALY
EPI_ISL_3948672	ITALY
EPI_ISL_3948673	ITALY
EPI_ISL_3948674	ITALY
