Sample_ID	Population
EPI_ISL_8608121	OMICRON_2022_AFRICA
EPI_ISL_8826512	OMICRON_2022_AFRICA
EPI_ISL_8826515	OMICRON_2022_AFRICA
EPI_ISL_8826519	OMICRON_2022_AFRICA
EPI_ISL_8826523	OMICRON_2022_AFRICA
EPI_ISL_8896430	OMICRON_2022_AFRICA
EPI_ISL_8896433	OMICRON_2022_AFRICA
EPI_ISL_8896435	OMICRON_2022_AFRICA
EPI_ISL_8896444	OMICRON_2022_AFRICA
EPI_ISL_8896467	OMICRON_2022_AFRICA
EPI_ISL_8896476	OMICRON_2022_AFRICA
EPI_ISL_8896477	OMICRON_2022_AFRICA
EPI_ISL_9082856	OMICRON_2022_AFRICA
EPI_ISL_9082858	OMICRON_2022_AFRICA
EPI_ISL_9082859	OMICRON_2022_AFRICA
EPI_ISL_9149786	OMICRON_2022_AFRICA
EPI_ISL_9201580	OMICRON_2022_AFRICA
EPI_ISL_9371494	OMICRON_2022_AFRICA
EPI_ISL_9371898	OMICRON_2022_AFRICA
EPI_ISL_9372501	OMICRON_2022_AFRICA
EPI_ISL_9402090	OMICRON_2022_AFRICA
EPI_ISL_9402097	OMICRON_2022_AFRICA
EPI_ISL_9402432	OMICRON_2022_AFRICA
EPI_ISL_9402433	OMICRON_2022_AFRICA
EPI_ISL_9402434	OMICRON_2022_AFRICA
EPI_ISL_9573287	OMICRON_2022_AFRICA
EPI_ISL_9679617	OMICRON_2022_AFRICA
EPI_ISL_9686864	OMICRON_2022_AFRICA
EPI_ISL_9686879	OMICRON_2022_AFRICA
EPI_ISL_9686880	OMICRON_2022_AFRICA
EPI_ISL_9686882	OMICRON_2022_AFRICA
EPI_ISL_9686883	OMICRON_2022_AFRICA
EPI_ISL_9686885	OMICRON_2022_AFRICA
EPI_ISL_9686891	OMICRON_2022_AFRICA
EPI_ISL_9963157	OMICRON_2022_AFRICA
EPI_ISL_9990850	OMICRON_2022_AFRICA
EPI_ISL_9990857	OMICRON_2022_AFRICA
EPI_ISL_10070736	OMICRON_2022_AFRICA
EPI_ISL_10114822	OMICRON_2022_AFRICA
EPI_ISL_10141863	OMICRON_2022_AFRICA
EPI_ISL_10141865	OMICRON_2022_AFRICA
EPI_ISL_10141870	OMICRON_2022_AFRICA
EPI_ISL_10210644	OMICRON_2022_AFRICA
EPI_ISL_10635633	OMICRON_2022_AFRICA
EPI_ISL_10646278	OMICRON_2022_AFRICA
EPI_ISL_10667078	OMICRON_2022_AFRICA
EPI_ISL_10878466	OMICRON_2022_AFRICA
EPI_ISL_10893948	OMICRON_2022_AFRICA
EPI_ISL_10893972	OMICRON_2022_AFRICA
EPI_ISL_10967591	OMICRON_2022_AFRICA
EPI_ISL_10981812	OMICRON_2022_AFRICA
EPI_ISL_11105134	OMICRON_2022_AFRICA
EPI_ISL_11139875	OMICRON_2022_AFRICA
EPI_ISL_11139946	OMICRON_2022_AFRICA
EPI_ISL_11207521	OMICRON_2022_AFRICA
EPI_ISL_11207523	OMICRON_2022_AFRICA
EPI_ISL_11207529	OMICRON_2022_AFRICA
