Sample_ID	Population
EPI_ISL_18742958	NEW
EPI_ISL_18742959	NEW
EPI_ISL_18746152	NEW
EPI_ISL_18763899	NEW
EPI_ISL_18771810	NEW
EPI_ISL_18787213	NEW
EPI_ISL_18787624	NEW
EPI_ISL_18788705	NEW
EPI_ISL_18794902	NEW
EPI_ISL_18800762	NEW
EPI_ISL_18800821	NEW
EPI_ISL_18800839	NEW
EPI_ISL_18800865	NEW
EPI_ISL_18801395	NEW
EPI_ISL_18801403	NEW
EPI_ISL_18810298	NEW
EPI_ISL_18815832	NEW
EPI_ISL_18816245	NEW
EPI_ISL_18817258	NEW
EPI_ISL_18821996	NEW
EPI_ISL_18821999	NEW
EPI_ISL_18822000	NEW
EPI_ISL_18822002	NEW
EPI_ISL_18822003	NEW
EPI_ISL_18822007	NEW
EPI_ISL_18822016	NEW
EPI_ISL_18822062	NEW
EPI_ISL_18822065	NEW
EPI_ISL_18822067	NEW
EPI_ISL_18822076	NEW
EPI_ISL_18823175	NEW
EPI_ISL_18823218	NEW
EPI_ISL_18824097	NEW
EPI_ISL_18825010	NEW
EPI_ISL_18831831	NEW
EPI_ISL_18832504	NEW
EPI_ISL_18832585	NEW
EPI_ISL_18833258	NEW
EPI_ISL_18839095	NEW
EPI_ISL_18841390	NEW
EPI_ISL_18846938	NEW
EPI_ISL_18846942	NEW
EPI_ISL_18846943	NEW
EPI_ISL_18846955	NEW
EPI_ISL_18846965	NEW
EPI_ISL_18849669	NEW
EPI_ISL_18851089	NEW
EPI_ISL_18852505	NEW
EPI_ISL_18853552	NEW
EPI_ISL_18854704	NEW
EPI_ISL_18858431	NEW
EPI_ISL_18858500	NEW
EPI_ISL_18860682	NEW
EPI_ISL_18866966	NEW
EPI_ISL_18867830	NEW
EPI_ISL_18867849	NEW
EPI_ISL_18867893	NEW
EPI_ISL_18869484	NEW
EPI_ISL_18869503	NEW
EPI_ISL_18869506	NEW
EPI_ISL_18869510	NEW
EPI_ISL_18869514	NEW
EPI_ISL_18869517	NEW
EPI_ISL_18869519	NEW
EPI_ISL_18869526	NEW
EPI_ISL_18869536	NEW
EPI_ISL_18869541	NEW
EPI_ISL_18869542	NEW
EPI_ISL_18869548	NEW
EPI_ISL_18869551	NEW
EPI_ISL_18873908	NEW
EPI_ISL_18873922	NEW
EPI_ISL_18874163	NEW
EPI_ISL_18874239	NEW
EPI_ISL_18874270	NEW
EPI_ISL_18874296	NEW
EPI_ISL_18874367	NEW
EPI_ISL_18874387	NEW
EPI_ISL_18874442	NEW
EPI_ISL_18874448	NEW
EPI_ISL_18874480	NEW
EPI_ISL_18874520	NEW
EPI_ISL_18874553	NEW
EPI_ISL_18874571	NEW
EPI_ISL_18874636	NEW
EPI_ISL_18874663	NEW
EPI_ISL_18874666	NEW
EPI_ISL_18874678	NEW
EPI_ISL_18874683	NEW
EPI_ISL_18874688	NEW
EPI_ISL_18874691	NEW
EPI_ISL_18874694	NEW
EPI_ISL_18874702	NEW
EPI_ISL_18874758	NEW
EPI_ISL_18874809	NEW
EPI_ISL_18874823	NEW
EPI_ISL_18874828	NEW
EPI_ISL_18874868	NEW
EPI_ISL_18874942	NEW
EPI_ISL_18876826	NEW
EPI_ISL_18876919	NEW
EPI_ISL_18878048	NEW
EPI_ISL_18878055	NEW
EPI_ISL_18878253	NEW
EPI_ISL_18878547	NEW
EPI_ISL_18880411	NEW
EPI_ISL_18884730	NEW
EPI_ISL_18885272	NEW
EPI_ISL_18899547	NEW
EPI_ISL_18900431	NEW
EPI_ISL_18900437	NEW
EPI_ISL_18900439	NEW
EPI_ISL_18900442	NEW
EPI_ISL_18900467	NEW
EPI_ISL_18900932	NEW
EPI_ISL_18901723	NEW
EPI_ISL_18901724	NEW
EPI_ISL_18901735	NEW
EPI_ISL_18914630	NEW
EPI_ISL_18914642	NEW
EPI_ISL_18917167	NEW
EPI_ISL_18923708	NEW
EPI_ISL_18927292	NEW
EPI_ISL_18928195	NEW
EPI_ISL_18928196	NEW
EPI_ISL_18928197	NEW
EPI_ISL_18928198	NEW
EPI_ISL_18928199	NEW
EPI_ISL_18928261	NEW
EPI_ISL_18932448	NEW
EPI_ISL_18933416	NEW
EPI_ISL_18935636	NEW
EPI_ISL_18935637	NEW
EPI_ISL_18935642	NEW
EPI_ISL_18935644	NEW
EPI_ISL_18935646	NEW
EPI_ISL_18935647	NEW
EPI_ISL_18935648	NEW
EPI_ISL_18935649	NEW
EPI_ISL_18935651	NEW
EPI_ISL_18935652	NEW
EPI_ISL_18935653	NEW
EPI_ISL_18935654	NEW
EPI_ISL_18935655	NEW
EPI_ISL_18935656	NEW
EPI_ISL_18935657	NEW
EPI_ISL_18936354	NEW
EPI_ISL_18937111	NEW
EPI_ISL_18939836	NEW
EPI_ISL_18939837	NEW
EPI_ISL_18939873	NEW
EPI_ISL_18939943	NEW
EPI_ISL_18943521	NEW
EPI_ISL_18943525	NEW
EPI_ISL_18945024	NEW
EPI_ISL_18945025	NEW
EPI_ISL_18945026	NEW
EPI_ISL_18945027	NEW
EPI_ISL_18945029	NEW
EPI_ISL_18945031	NEW
EPI_ISL_18945032	NEW
EPI_ISL_18945140	NEW
EPI_ISL_18945141	NEW
EPI_ISL_18945516	NEW
EPI_ISL_18950783	NEW
EPI_ISL_18950784	NEW
EPI_ISL_18950836	NEW
EPI_ISL_18950838	NEW
EPI_ISL_18950839	NEW
EPI_ISL_18950840	NEW
EPI_ISL_18950841	NEW
EPI_ISL_18950855	NEW
EPI_ISL_18950856	NEW
EPI_ISL_18950857	NEW
EPI_ISL_18950860	NEW
EPI_ISL_18956140	NEW
EPI_ISL_18956148	NEW
EPI_ISL_18956149	NEW
EPI_ISL_18958058	NEW
EPI_ISL_18958059	NEW
EPI_ISL_18958061	NEW
EPI_ISL_18958062	NEW
EPI_ISL_18958064	NEW
EPI_ISL_18958066	NEW
EPI_ISL_18958067	NEW
EPI_ISL_18958071	NEW
EPI_ISL_18958073	NEW
EPI_ISL_18958074	NEW
EPI_ISL_18958075	NEW
EPI_ISL_18958077	NEW
EPI_ISL_18958079	NEW
EPI_ISL_18958081	NEW
EPI_ISL_18958082	NEW
EPI_ISL_18958084	NEW
EPI_ISL_18958087	NEW
EPI_ISL_18958089	NEW
EPI_ISL_18958090	NEW
EPI_ISL_18958091	NEW
EPI_ISL_18958092	NEW
EPI_ISL_18958094	NEW
EPI_ISL_18958095	NEW
EPI_ISL_18958096	NEW
EPI_ISL_18958097	NEW
EPI_ISL_18958098	NEW
EPI_ISL_18958099	NEW
EPI_ISL_18958100	NEW
EPI_ISL_18958101	NEW
EPI_ISL_18958102	NEW
