Sample_ID	Population
EPI_ISL_19651843	2025
EPI_ISL_19651844	2025
EPI_ISL_19651845	2025
EPI_ISL_19651846	2025
EPI_ISL_19651848	2025
EPI_ISL_19651849	2025
EPI_ISL_19651850	2025
EPI_ISL_19651888	2025
EPI_ISL_19651889	2025
EPI_ISL_19651890	2025
EPI_ISL_19651893	2025
EPI_ISL_19651914	2025
EPI_ISL_19651915	2025
EPI_ISL_19651916	2025
EPI_ISL_19651917	2025
EPI_ISL_19651918	2025
EPI_ISL_19651919	2025
EPI_ISL_19651920	2025
EPI_ISL_19651921	2025
EPI_ISL_19651923	2025
EPI_ISL_19652040	2025
EPI_ISL_19652041	2025
EPI_ISL_19652042	2025
EPI_ISL_19652043	2025
EPI_ISL_19652044	2025
EPI_ISL_19652046	2025
EPI_ISL_19652047	2025
EPI_ISL_19652048	2025
EPI_ISL_19652049	2025
EPI_ISL_19652052	2025
EPI_ISL_19652053	2025
EPI_ISL_19652097	2025
EPI_ISL_19652101	2025
EPI_ISL_19652113	2025
EPI_ISL_19652137	2025
EPI_ISL_19652143	2025
EPI_ISL_19652144	2025
EPI_ISL_19652145	2025
EPI_ISL_19652146	2025
EPI_ISL_19652147	2025
EPI_ISL_19652148	2025
EPI_ISL_19652149	2025
EPI_ISL_19652150	2025
EPI_ISL_19652151	2025
EPI_ISL_19652152	2025
EPI_ISL_19652153	2025
EPI_ISL_19652154	2025
EPI_ISL_19652157	2025
EPI_ISL_19652158	2025
EPI_ISL_19660226	2025
EPI_ISL_19660228	2025
EPI_ISL_19660229	2025
EPI_ISL_19660231	2025
EPI_ISL_19660232	2025
EPI_ISL_19660234	2025
EPI_ISL_19660237	2025
EPI_ISL_19660238	2025
EPI_ISL_19661040	2025
EPI_ISL_19661041	2025
EPI_ISL_19661042	2025
EPI_ISL_19661045	2025
EPI_ISL_19661047	2025
EPI_ISL_19661048	2025
EPI_ISL_19661049	2025
EPI_ISL_19661053	2025
EPI_ISL_19682372	2025
EPI_ISL_19682375	2025
EPI_ISL_19682376	2025
EPI_ISL_19682379	2025
EPI_ISL_19682382	2025
EPI_ISL_19684424	2025
EPI_ISL_19684435	2025
EPI_ISL_19684437	2025
EPI_ISL_19684438	2025
EPI_ISL_19684440	2025
EPI_ISL_19684441	2025
