Sample_ID	Population
EPI_ISL_402124	START
EPI_ISL_402127	START
EPI_ISL_402128	START
EPI_ISL_402129	START
EPI_ISL_402130	START
EPI_ISL_402132	START
EPI_ISL_403962	START
EPI_ISL_403963	START
EPI_ISL_404227	START
EPI_ISL_404228	START
EPI_ISL_406592	START
EPI_ISL_406593	START
EPI_ISL_406594	START
EPI_ISL_406595	START
EPI_ISL_406862	START
EPI_ISL_406970	START
EPI_ISL_407079	START
EPI_ISL_407313	START
EPI_ISL_407893	START
EPI_ISL_407976	START
EPI_ISL_408430	START
EPI_ISL_408431	START
EPI_ISL_408480	START
EPI_ISL_408481	START
EPI_ISL_408482	START
EPI_ISL_408484	START
EPI_ISL_408485	START
EPI_ISL_408486	START
EPI_ISL_408488	START
EPI_ISL_408489	START
EPI_ISL_408666	START
EPI_ISL_408669	START
EPI_ISL_408977	START
EPI_ISL_410218	START
EPI_ISL_410301	START
EPI_ISL_410531	START
EPI_ISL_410532	START
EPI_ISL_410545	START
EPI_ISL_410546	START
EPI_ISL_410984	START
EPI_ISL_411218	START
EPI_ISL_411219	START
EPI_ISL_411220	START
EPI_ISL_411902	START
EPI_ISL_412386	START
EPI_ISL_412459	START
EPI_ISL_412964	START
EPI_ISL_412970	START
EPI_ISL_412972	START
EPI_ISL_412975	START
EPI_ISL_412978	START
EPI_ISL_412979	START
EPI_ISL_412980	START
EPI_ISL_412981	START
EPI_ISL_412982	START
EPI_ISL_412983	START
EPI_ISL_413016	START
EPI_ISL_413213	START
EPI_ISL_413214	START
EPI_ISL_413459	START
EPI_ISL_413490	START
EPI_ISL_413522	START
EPI_ISL_413523	START
EPI_ISL_413594	START
EPI_ISL_413595	START
EPI_ISL_413596	START
EPI_ISL_413597	START
EPI_ISL_413598	START
EPI_ISL_413599	START
EPI_ISL_413600	START
EPI_ISL_413647	START
EPI_ISL_413648	START
EPI_ISL_414014	START
EPI_ISL_414015	START
EPI_ISL_414016	START
EPI_ISL_414017	START
EPI_ISL_414477	START
EPI_ISL_414495	START
EPI_ISL_414496	START
EPI_ISL_414520	START
EPI_ISL_414521	START
EPI_ISL_414577	START
EPI_ISL_414598	START
EPI_ISL_414623	START
EPI_ISL_414624	START
EPI_ISL_414625	START
EPI_ISL_414626	START
EPI_ISL_414627	START
EPI_ISL_414628	START
EPI_ISL_414629	START
EPI_ISL_414630	START
EPI_ISL_414631	START
EPI_ISL_414632	START
EPI_ISL_414633	START
EPI_ISL_414634	START
EPI_ISL_414635	START
EPI_ISL_414636	START
EPI_ISL_414637	START
EPI_ISL_414638	START
EPI_ISL_414663	START
EPI_ISL_414691	START
EPI_ISL_415153	START
EPI_ISL_415154	START
EPI_ISL_415155	START
EPI_ISL_415156	START
EPI_ISL_415157	START
EPI_ISL_415158	START
EPI_ISL_415159	START
EPI_ISL_415641	START
EPI_ISL_415642	START
EPI_ISL_415643	START
EPI_ISL_415644	START
EPI_ISL_415649	START
EPI_ISL_415650	START
EPI_ISL_415652	START
EPI_ISL_415654	START
EPI_ISL_415709	START
EPI_ISL_415710	START
EPI_ISL_415711	START
EPI_ISL_416028	START
EPI_ISL_416029	START
EPI_ISL_416031	START
EPI_ISL_416032	START
EPI_ISL_416033	START
EPI_ISL_416034	START
EPI_ISL_416035	START
EPI_ISL_416036	START
EPI_ISL_416042	START
EPI_ISL_416044	START
EPI_ISL_416046	START
EPI_ISL_416047	START
EPI_ISL_416142	START
EPI_ISL_416143	START
EPI_ISL_416144	START
EPI_ISL_416425	START
EPI_ISL_416426	START
EPI_ISL_416458	START
EPI_ISL_416469	START
EPI_ISL_416470	START
EPI_ISL_416471	START
EPI_ISL_416472	START
EPI_ISL_416473	START
EPI_ISL_416474	START
EPI_ISL_416475	START
EPI_ISL_416485	START
EPI_ISL_416486	START
EPI_ISL_416487	START
EPI_ISL_416488	START
EPI_ISL_416493	START
EPI_ISL_416494	START
EPI_ISL_416495	START
EPI_ISL_416496	START
EPI_ISL_416497	START
EPI_ISL_416498	START
EPI_ISL_416499	START
EPI_ISL_416500	START
EPI_ISL_416501	START
EPI_ISL_416502	START
EPI_ISL_416503	START
EPI_ISL_416504	START
EPI_ISL_416505	START
EPI_ISL_416506	START
EPI_ISL_416507	START
EPI_ISL_416508	START
EPI_ISL_416509	START
EPI_ISL_416510	START
EPI_ISL_416511	START
EPI_ISL_416512	START
EPI_ISL_416513	START
EPI_ISL_416565	START
EPI_ISL_416566	START
EPI_ISL_416567	START
EPI_ISL_416569	START
EPI_ISL_416570	START
EPI_ISL_416571	START
EPI_ISL_416572	START
EPI_ISL_416573	START
EPI_ISL_416574	START
EPI_ISL_416575	START
EPI_ISL_416576	START
EPI_ISL_416577	START
EPI_ISL_416578	START
EPI_ISL_416579	START
EPI_ISL_416580	START
EPI_ISL_416581	START
EPI_ISL_416582	START
EPI_ISL_416583	START
EPI_ISL_416585	START
EPI_ISL_416586	START
EPI_ISL_416587	START
EPI_ISL_416588	START
EPI_ISL_416589	START
EPI_ISL_416590	START
EPI_ISL_416591	START
EPI_ISL_416592	START
EPI_ISL_416593	START
EPI_ISL_416594	START
EPI_ISL_416595	START
EPI_ISL_416596	START
EPI_ISL_416597	START
EPI_ISL_416598	START
EPI_ISL_416599	START
EPI_ISL_416600	START
EPI_ISL_416601	START
EPI_ISL_416602	START
EPI_ISL_416603	START
EPI_ISL_416604	START
EPI_ISL_416605	START
EPI_ISL_416606	START
EPI_ISL_416607	START
EPI_ISL_416608	START
EPI_ISL_416609	START
EPI_ISL_416610	START
EPI_ISL_416611	START
EPI_ISL_416612	START
EPI_ISL_416613	START
EPI_ISL_416614	START
EPI_ISL_416615	START
EPI_ISL_416617	START
EPI_ISL_416618	START
EPI_ISL_416619	START
EPI_ISL_416620	START
EPI_ISL_416621	START
EPI_ISL_416622	START
EPI_ISL_416624	START
EPI_ISL_416625	START
EPI_ISL_416626	START
EPI_ISL_416627	START
EPI_ISL_416628	START
EPI_ISL_416629	START
EPI_ISL_416630	START
EPI_ISL_416631	START
EPI_ISL_416632	START
EPI_ISL_416633	START
EPI_ISL_416634	START
EPI_ISL_416744	START
EPI_ISL_416829	START
EPI_ISL_416866	START
EPI_ISL_416885	START
EPI_ISL_416886	START
EPI_ISL_416907	START
EPI_ISL_416994	START
EPI_ISL_417007	START
EPI_ISL_417010	START
EPI_ISL_417015	START
EPI_ISL_417016	START
EPI_ISL_417018	START
EPI_ISL_417019	START
EPI_ISL_417030	START
