Sample_ID	Population
EPI_ISL_410545	NZ
EPI_ISL_410546	NZ
EPI_ISL_412973	NZ
EPI_ISL_412974	NZ
EPI_ISL_413489	NZ
EPI_ISL_417418	NZ
EPI_ISL_417419	NZ
EPI_ISL_417421	NZ
EPI_ISL_417423	NZ
EPI_ISL_417445	NZ
EPI_ISL_417447	NZ
EPI_ISL_417491	NZ
EPI_ISL_417921	NZ
EPI_ISL_417922	NZ
EPI_ISL_417923	NZ
EPI_ISL_418255	NZ
EPI_ISL_418256	NZ
EPI_ISL_418257	NZ
EPI_ISL_418258	NZ
EPI_ISL_418259	NZ
EPI_ISL_418260	NZ
EPI_ISL_419254	NZ
EPI_ISL_419255	NZ
EPI_ISL_420563	NZ
EPI_ISL_420564	NZ
EPI_ISL_420565	NZ
EPI_ISL_420566	NZ
EPI_ISL_420567	NZ
EPI_ISL_420568	NZ
EPI_ISL_420569	NZ
EPI_ISL_420583	NZ
EPI_ISL_422437	NZ
EPI_ISL_422438	NZ
EPI_ISL_424342	NZ
EPI_ISL_424343	NZ
EPI_ISL_424344	NZ
EPI_ISL_428853	NZ
EPI_ISL_428854	NZ
EPI_ISL_429226	NZ
EPI_ISL_429227	NZ
EPI_ISL_429228	NZ
EPI_ISL_429231	NZ
EPI_ISL_429232	NZ
EPI_ISL_429235	NZ
EPI_ISL_429236	NZ
EPI_ISL_435145	NZ
EPI_ISL_435146	NZ
EPI_ISL_435147	NZ
EPI_ISL_435148	NZ
EPI_ISL_435149	NZ
EPI_ISL_435150	NZ
EPI_ISL_435151	NZ
EPI_ISL_435152	NZ
EPI_ISL_435153	NZ
EPI_ISL_435154	NZ
EPI_ISL_435155	NZ
EPI_ISL_436718	NZ
EPI_ISL_436719	NZ
EPI_ISL_436720	NZ
EPI_ISL_436721	NZ
EPI_ISL_436722	NZ
EPI_ISL_436723	NZ
EPI_ISL_436724	NZ
EPI_ISL_436725	NZ
EPI_ISL_436726	NZ
EPI_ISL_436727	NZ
EPI_ISL_436729	NZ
EPI_ISL_436730	NZ
EPI_ISL_436731	NZ
EPI_ISL_436732	NZ
EPI_ISL_451298	NZ
EPI_ISL_451299	NZ
EPI_ISL_451300	NZ
EPI_ISL_451301	NZ
EPI_ISL_451302	NZ
EPI_ISL_451303	NZ
EPI_ISL_451304	NZ
EPI_ISL_451306	NZ
EPI_ISL_451307	NZ
EPI_ISL_451308	NZ
EPI_ISL_451309	NZ
EPI_ISL_451961	NZ
EPI_ISL_451962	NZ
EPI_ISL_452181	NZ
EPI_ISL_452182	NZ
EPI_ISL_452183	NZ
EPI_ISL_452184	NZ
EPI_ISL_452185	NZ
EPI_ISL_452186	NZ
EPI_ISL_452187	NZ
EPI_ISL_452188	NZ
EPI_ISL_452189	NZ
EPI_ISL_452190	NZ
EPI_ISL_452191	NZ
EPI_ISL_454733	NZ
EPI_ISL_457699	NZ
EPI_ISL_457700	NZ
EPI_ISL_457721	NZ
EPI_ISL_457724	NZ
EPI_ISL_457728	NZ
EPI_ISL_457732	NZ
EPI_ISL_457736	NZ
EPI_ISL_457749	NZ
EPI_ISL_457825	NZ
EPI_ISL_457826	NZ
EPI_ISL_458084	NZ
EPI_ISL_458085	NZ
EPI_ISL_460079	NZ
EPI_ISL_460080	NZ
EPI_ISL_460081	NZ
EPI_ISL_460082	NZ
EPI_ISL_460083	NZ
EPI_ISL_460084	NZ
EPI_ISL_460085	NZ
EPI_ISL_460086	NZ
EPI_ISL_460087	NZ
EPI_ISL_460088	NZ
EPI_ISL_460089	NZ
EPI_ISL_460090	NZ
EPI_ISL_460091	NZ
EPI_ISL_460092	NZ
EPI_ISL_460093	NZ
EPI_ISL_460094	NZ
EPI_ISL_460095	NZ
EPI_ISL_468914	NZ
EPI_ISL_469016	NZ
EPI_ISL_469018	NZ
EPI_ISL_469019	NZ
EPI_ISL_469020	NZ
EPI_ISL_469021	NZ
EPI_ISL_469022	NZ
EPI_ISL_469023	NZ
EPI_ISL_477193	NZ
EPI_ISL_477194	NZ
EPI_ISL_477195	NZ
EPI_ISL_477196	NZ
EPI_ISL_477197	NZ
EPI_ISL_477198	NZ
EPI_ISL_477199	NZ
EPI_ISL_477200	NZ
EPI_ISL_477201	NZ
EPI_ISL_477202	NZ
EPI_ISL_477203	NZ
EPI_ISL_477204	NZ
EPI_ISL_479616	NZ
EPI_ISL_479617	NZ
EPI_ISL_479618	NZ
EPI_ISL_479619	NZ
EPI_ISL_479790	NZ
EPI_ISL_479791	NZ
EPI_ISL_486646	NZ
EPI_ISL_486650	NZ
