Sample_ID	Population
EPI_ISL_860553	SOUTH_AFRICA
EPI_ISL_860554	SOUTH_AFRICA
EPI_ISL_860555	SOUTH_AFRICA
EPI_ISL_860556	SOUTH_AFRICA
EPI_ISL_860557	SOUTH_AFRICA
EPI_ISL_860558	SOUTH_AFRICA
EPI_ISL_860560	SOUTH_AFRICA
EPI_ISL_860561	SOUTH_AFRICA
EPI_ISL_860562	SOUTH_AFRICA
EPI_ISL_860563	SOUTH_AFRICA
EPI_ISL_860564	SOUTH_AFRICA
EPI_ISL_860565	SOUTH_AFRICA
EPI_ISL_860567	SOUTH_AFRICA
EPI_ISL_860568	SOUTH_AFRICA
EPI_ISL_860569	SOUTH_AFRICA
EPI_ISL_860570	SOUTH_AFRICA
EPI_ISL_860571	SOUTH_AFRICA
EPI_ISL_860573	SOUTH_AFRICA
EPI_ISL_860574	SOUTH_AFRICA
EPI_ISL_860575	SOUTH_AFRICA
EPI_ISL_860577	SOUTH_AFRICA
EPI_ISL_860578	SOUTH_AFRICA
EPI_ISL_860582	SOUTH_AFRICA
EPI_ISL_860585	SOUTH_AFRICA
EPI_ISL_860587	SOUTH_AFRICA
EPI_ISL_860588	SOUTH_AFRICA
EPI_ISL_860590	SOUTH_AFRICA
EPI_ISL_860591	SOUTH_AFRICA
EPI_ISL_860592	SOUTH_AFRICA
EPI_ISL_860593	SOUTH_AFRICA
EPI_ISL_860594	SOUTH_AFRICA
EPI_ISL_940862	SOUTH_AFRICA
EPI_ISL_940864	SOUTH_AFRICA
EPI_ISL_940886	SOUTH_AFRICA
EPI_ISL_940887	SOUTH_AFRICA
EPI_ISL_940888	SOUTH_AFRICA
EPI_ISL_940889	SOUTH_AFRICA
EPI_ISL_940890	SOUTH_AFRICA
EPI_ISL_940891	SOUTH_AFRICA
EPI_ISL_944130	SOUTH_AFRICA
EPI_ISL_944131	SOUTH_AFRICA
EPI_ISL_944132	SOUTH_AFRICA
EPI_ISL_944133	SOUTH_AFRICA
EPI_ISL_944134	SOUTH_AFRICA
EPI_ISL_944135	SOUTH_AFRICA
EPI_ISL_944136	SOUTH_AFRICA
EPI_ISL_944137	SOUTH_AFRICA
EPI_ISL_944138	SOUTH_AFRICA
EPI_ISL_944139	SOUTH_AFRICA
EPI_ISL_944144	SOUTH_AFRICA
EPI_ISL_944145	SOUTH_AFRICA
EPI_ISL_944146	SOUTH_AFRICA
EPI_ISL_944147	SOUTH_AFRICA
EPI_ISL_944148	SOUTH_AFRICA
EPI_ISL_944150	SOUTH_AFRICA
EPI_ISL_944151	SOUTH_AFRICA
EPI_ISL_944152	SOUTH_AFRICA
EPI_ISL_944153	SOUTH_AFRICA
EPI_ISL_944154	SOUTH_AFRICA
EPI_ISL_944155	SOUTH_AFRICA
EPI_ISL_944156	SOUTH_AFRICA
EPI_ISL_944157	SOUTH_AFRICA
EPI_ISL_944158	SOUTH_AFRICA
EPI_ISL_944159	SOUTH_AFRICA
EPI_ISL_944160	SOUTH_AFRICA
EPI_ISL_944161	SOUTH_AFRICA
EPI_ISL_944162	SOUTH_AFRICA
EPI_ISL_944163	SOUTH_AFRICA
EPI_ISL_944164	SOUTH_AFRICA
EPI_ISL_944165	SOUTH_AFRICA
EPI_ISL_944166	SOUTH_AFRICA
EPI_ISL_944167	SOUTH_AFRICA
EPI_ISL_944168	SOUTH_AFRICA
EPI_ISL_944169	SOUTH_AFRICA
EPI_ISL_944170	SOUTH_AFRICA
EPI_ISL_944171	SOUTH_AFRICA
EPI_ISL_944172	SOUTH_AFRICA
EPI_ISL_944173	SOUTH_AFRICA
EPI_ISL_944174	SOUTH_AFRICA
EPI_ISL_944175	SOUTH_AFRICA
