gene-GU280_gp01	NC_045512.2:266:21555
gene-GU280_gp02	NC_045512.2:21563:25384
gene-GU280_gp03	NC_045512.2:25393:26220
gene-GU280_gp04	NC_045512.2:26245:26472
gene-GU280_gp05	NC_045512.2:26523:27191
gene-GU280_gp06	NC_045512.2:27202:27387
gene-GU280_gp07	NC_045512.2:27394:27759
gene-GU280_gp08	NC_045512.2:27756:27887
gene-GU280_gp09	NC_045512.2:27894:28259
gene-GU280_gp10	NC_045512.2:28274:29533
gene-GU280_gp11	NC_045512.2:29558:29674
